大專校院校別學生數,,,,,,,,,,,,,,,,,,,,,,,,
107 學年度 SY2018-2019,,,,,,,,,,,,,,,,,,,,,,,,
學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
0001,國立政治大學,D 日,D 博士,965,551,414,96,85,82,78,93,59,77,54,71,52,58,46,74,40,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,M 碩士,"3,998","1,854","2,144",624,742,632,695,348,431,250,276,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0001,國立政治大學,D 日,B 學士,"9,630","3,983","5,647",899,"1,287",890,"1,332",878,"1,325",990,"1,240",-,-,-,-,-,-,326,463,30 臺北市,1 一般
0001,國立政治大學,N 職,M 碩士,"1,750",896,854,303,248,253,259,201,210,86,90,53,47,-,-,-,-,-,-,30 臺北市,1 一般
0002,國立清華大學,D 日,D 博士,"1,664","1,221",443,225,99,201,71,189,73,168,49,158,50,112,43,168,58,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,M 碩士,"5,018","3,141","1,877","1,315",719,"1,159",639,464,306,193,190,6,13,4,10,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,D 日,B 學士,"8,689","4,696","3,993","1,089",865,"1,087",936,"1,161",994,"1,073","1,032",-,-,-,-,-,-,286,166,18 新竹市,1 一般
0002,國立清華大學,D 日,X 4+X,65,41,24,22,16,19,8,-,-,-,-,-,-,-,-,-,-,-,-,18 新竹市,1 一般
0002,國立清華大學,N 職,M 碩士,"1,221",459,762,186,238,165,227,40,125,27,60,17,46,8,14,16,52,-,-,18 新竹市,1 一般
0003,國立臺灣大學,D 日,D 博士,"3,459","2,405","1,054",408,196,374,168,383,147,350,158,304,123,234,109,352,153,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,M 碩士,"10,197","6,178","4,019","2,445","1,552","2,343","1,475",930,604,460,388,-,-,-,-,-,-,-,-,30 臺北市,1 一般
0003,國立臺灣大學,D 日,B 學士,"16,604","9,447","7,157","2,126","1,525","2,110","1,666","2,122","1,673","2,006","1,562",184,98,126,61,102,35,671,537,30 臺北市,1 一般
0003,國立臺灣大學,N 職,M 碩士,"1,485",904,581,321,238,316,201,152,93,43,22,35,7,37,20,-,-,-,-,30 臺北市,1 一般
0004,國立臺灣師範大學,D 日,D 博士,"1,378",685,693,109,116,122,120,99,99,103,119,95,82,87,90,70,67,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,M 碩士,"4,083","1,714","2,369",614,796,548,711,344,516,208,346,-,-,-,-,-,-,-,-,30 臺北市,3 師範
0004,國立臺灣師範大學,D 日,B 學士,"8,079","3,583","4,496",846,"1,066",850,"1,063",843,"1,078",804,"1,018",-,-,-,-,-,-,240,271,30 臺北市,3 師範
0004,國立臺灣師範大學,N 職,M 碩士,"2,042",596,"1,446",196,450,164,399,111,263,43,159,49,104,33,71,-,-,-,-,30 臺北市,3 師範
0005,國立成功大學,D 日,D 博士,"1,780","1,241",539,244,110,216,97,183,79,188,76,141,69,129,49,140,59,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,M 碩士,"6,720","4,244","2,476","1,849","1,072","1,766",982,463,294,165,123,1,5,-,-,-,-,-,-,21 臺南市,1 一般
0005,國立成功大學,D 日,B 學士,"11,390","7,123","4,267","1,672","1,010","1,651","1,041","1,668",996,"1,593",955,82,68,49,27,53,21,355,149,21 臺南市,1 一般
